Team,M,Players,Rating,Super Coach,Fantasy Points,Coaches Votes,Kick,HB,Dis.,Dis. Eff %,Kick Eff %,HB Eff %,Kick %,D / O Tk,In 50s,Reb 50s,R50 Rate,Mtrs Gnd,Mtrs / D,Clng,D/Cg,TO,D/TO,CP,UP,Poss,CP%,Int Poss,GB Gets,Ctr Clr,Stp Clr,Tot,Tot,CM,In 50,M50 Rate,Int Mks,On Lead,Goal Sc.,Avg GS,Gls,Beh,RB,Shots,Goal Ass.,Acc,G / In 50,SS / In 50,S / In 50,SI,Launch,Off 1v1,Win %,Def 1v1,Loss %,Tack,Tack In 50,Press. Acts,Spoils,Ruck Cont,Hit Outs,Win %,To Adv,Adv %,Free For,Free Agn,Free Diff,Kick Ins,KI Play On %,Bounce,1%s
Western Bulldogs,26,41,216.2,1703.4,1536.6,19.5,214.3,160.7,375.1,74.3,66.1,85.1,57.1,6.6,54.7,36.2,76.8,5938.3,15.8,53.6,7,68.7,5.5,143.3,228.9,372.2,38.5,68.9,99.3,12.7,27.1,39.8,85,11.7,12.9,23.6,13.9,6.3,32,8.2,13,11.8,2.6,27.2,9.2,48,23.8,45.3,49.6,96.5,24.5,16.3,24.9,14.5,30.3,58.1,11.6,282.1,32.8,89.7,28.2,31.4,8.8,31.4,19.8,16.9,3,9.7,93.7,7.7,53.6
Brisbane,24,32,214.8,1682.8,1526.9,18.6,225.3,126.4,351.6,70.6,65.2,80.4,64.1,6.1,56.5,39.8,77.2,5959.5,16.9,58.5,6,70.4,5,142.6,201.7,344.3,41.4,72.3,96.2,12.9,26.5,39.4,92.8,12.3,12.3,21.8,16.5,8.5,26,8.4,13.9,11.3,2,27.8,9.5,50,24.5,44.5,49.1,94.1,24.8,19,22.9,19.9,20.5,59.4,12,280.2,36.6,92.2,32.2,34.9,10.2,31.6,20,20.8,-0.8,9.8,80.9,2.4,50
Sydney,23,37,214.4,1732.2,1573.5,17.8,223.6,148.7,372.3,74,68.1,82.7,60.1,6.3,54,38.8,77,5537.1,14.9,56.1,6.6,66.8,5.6,138.3,227.4,365.8,37.8,67.7,91.5,12.3,23.2,35.5,94.2,11.3,12.3,22.8,13.5,8.8,25,7.5,13.2,10.5,2,25.3,9.5,52.1,24.4,43.8,46.8,93.8,23.3,18.2,32.2,17.5,27.1,60.7,11.3,299.4,33.8,86.8,33.7,38.9,10.5,31.1,19.6,20.2,-0.6,10.5,90.9,5,50.3
Melbourne,25,34,214.3,1713.4,1566,22.2,219.4,149.2,368.5,70.8,64.2,80.6,59.5,5.8,56.2,39.3,79.6,6083.4,16.5,59.7,6.2,69.8,5.3,148.6,214.4,363,40.9,77.1,99.7,12,25.3,37.3,89.4,12.4,12.7,22.6,19.3,9,23,7.8,12.9,12.3,2.6,28.4,7.7,45.6,23,44.9,50.5,93,25,16,22.8,18.8,23.2,62.2,12.4,298.3,32.5,87.4,44.1,50.5,13.8,31.2,19.1,19.2,-0.1,7.6,96.9,4,46.9
Hawthorn,22,38,208,1646.4,1561.9,11.8,211.6,167.6,379.2,74.6,66.6,84.6,55.8,6.7,48.7,40.5,74.4,5559.3,14.7,54.5,7,71.5,5.3,133.5,241.5,375,35.6,69.9,88,11,23.5,34.5,93.3,11.7,9.9,20.2,17.8,7.6,28,7.6,10.9,8.9,2.3,21.4,7.4,50.9,22.3,40.5,43.8,84.1,19.5,16.5,22.1,14.3,23.9,60.3,10.5,287,34.4,84.8,36.2,42.7,10.8,29.9,18.5,18.5,-0.1,9.8,68.1,5.8,51.8
Port Adelaide,24,35,206.5,1729,1602.5,19,227,155.5,382.4,73.5,67,83,59.3,6.8,53.7,38.9,78.7,5834.3,15.3,59.3,6.5,72.7,5.3,144,228.8,372.8,38.6,72.8,95.5,11.6,23.6,35.2,94.4,13.5,12,22.4,16.4,6.9,27,7.6,12.3,10.5,1.6,25.5,9,48,22.8,42.3,47.5,92.7,22.5,18.8,30.2,19.5,25.6,61.9,10.9,295.6,33,83.9,35.9,42.8,10.5,29.1,20.3,19.5,0.8,10.5,88.5,3.5,49.5
Essendon,23,37,204.3,1664.1,1528.2,16,210.9,155.8,366.7,75,68.9,83.2,57.5,7.4,52.6,38,74.9,5497.7,15,55.5,6.6,65.5,5.6,129.7,231.6,361.3,35.9,66.8,87,13.2,21.3,34.4,92.4,11.2,11.9,22.7,15.9,5.2,29,7.5,12.7,10.6,1.9,25.3,8.8,49.9,24.1,44.2,48.2,94.7,23,17.4,26.7,17.2,25,57.7,10,284.8,29.2,80.6,30.2,37.5,9.3,30.6,18.2,19,-0.8,9.7,89.3,7.4,46.8
Greater Western Sydney,24,39,201.9,1663.6,1524.8,15.4,216.8,145.5,362.3,72.5,66,82.2,59.8,6.3,49.7,41.3,76.5,5266.5,14.5,57.2,6.3,69.1,5.2,139.3,218.4,357.7,39,66.8,94.1,11.5,25.7,37.1,90.6,11,9.7,19.5,15.4,6.1,32,7.4,11.6,9.8,1.9,25,7.8,46.6,23.4,43.2,50.3,83.3,21.4,16.3,29.2,20.5,26.3,59.8,9.5,277.5,36.4,87.7,30.9,35.2,10.8,34.8,19.6,18.6,1,11,78.9,4.8,54.7
Geelong,25,35,201.3,1760,1595.8,17.5,224,157.5,381.4,74.7,69,82.8,58.7,6.2,52.4,36.1,77.5,5359.6,14.1,53,7.2,63.3,6,137.4,240,377.4,36.4,63.3,92.6,11.3,27.8,39.1,101.3,10.8,12.6,24,13.8,8.4,29,7.3,11.8,10.5,2,24.6,8.8,48,22.5,42.6,46.9,92.7,22,20.2,29.4,14.9,26.8,56.4,9.6,272.3,31.4,90.6,34.9,38.6,9.8,28,19.8,18.2,1.6,10.2,82.4,4.4,48.2
AFL Average,207,37,201.1,1650,1535.6,15,217.9,147.4,365.3,73.2,66.7,82.8,59.6,6.4,51.4,39,75.8,5542.1,15.2,57.1,6.4,68.6,5.3,136,223.9,359.8,37.8,68.9,90.6,11.9,23.7,35.6,94.6,11.5,11.5,22.3,15.8,7.9,28,7.2,11.5,10.5,2,24.3,8,47.4,22.4,42.8,47.3,88.2,21.8,17.3,26.4,17.3,26.4,57.4,10.1,288.9,33,85.4,34.4,40.3,10.6,31,19.1,19.1,0,10.3,82.8,5.3,49
