Team,M,Rating,Super Coach,Fantasy Points,Coaches Votes,Kick,HB,Dis.,Dis. Eff %,Kick Eff %,HB Eff %,D / O Tk,In 50s,Reb 50s,R50 Rate,Mtrs Gnd,Mtrs / D,Clng,D/Cg,TO,D/TO,CP,UP,Poss,CP%,Int Poss,GB Gets,Ctr Clr,Stp Clr,Tot,Tot,CM,In 50,M50 Rate,Int Mks,On Lead,Gls,Beh,RB,Shots,Goal Ass.,Acc,G / In 50,SS / In 50,S / In 50,SI,Launch,Tack,Tack In 50,Press. Acts,Spoils,Hit Outs,Win %,To Adv,Adv %,Kick Ins,KI Play On %,Bounce,1%s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Bulldogs,26,191.5,1596.7,1513.8,10.5,217.5,136.4,353.9,73.1,68.2,81,6.1,47.2,40.7,74.4,5613.5,15.9,58.7,6,68.6,5.2,135.2,213.4,348.7,38.8,68.7,87,11.2,23.5,34.6,97.7,13.3,10.5,22.3,16.4,6.9,9.9,9.9,1.4,22,7.3,45,21,42,46.6,81.2,19.7,56.5,8.5,315.8,35.5,43.8,48.9,12.7,28.9,11.5,80.3,3.5,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane,24,193.5,1617.4,1477,11.4,209.7,144.7,354.4,71.4,65.2,80.4,6,51.6,41.3,73,5676.7,16,60.2,5.9,72,4.9,139.8,208.2,348,40.2,70.7,90,12.2,25,37.2,84.5,11.5,11.3,21.8,16.3,7.9,10.6,10,1.6,22.9,7.6,46.4,20.6,40.1,44.3,82.8,20.5,57.8,9.8,275.8,31.4,40.4,43.9,12.2,30.2,11.1,81.6,6.3,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sydney,23,196.6,1567.2,1450.5,12.2,204.1,147.4,351.5,71.3,63.8,81.6,5.8,50.3,39.9,73.9,5210.5,14.8,56.3,6.2,67.4,5.2,140.1,206,346,40.5,67.1,95.3,12.1,24.4,36.5,79.4,10.3,9.9,19.6,13.1,6,10.8,10.5,2.1,24.3,6.7,44.4,21.4,42.3,48.3,82.5,21.2,58.7,11.2,299.2,33.6,35.9,41.4,10.8,30.1,10.3,80.1,4.2,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melbourne,25,190.3,1586.3,1487.6,7.8,211.8,147.2,359,70.7,63.2,81.6,5.8,49.4,42.2,75.1,5696.8,15.9,61.7,5.8,76.8,4.7,136.6,214,350.6,39,70,94.7,12,24.6,36.6,84.5,9.5,7.9,16,13.8,5.6,9.4,7.8,2.1,19.6,6.1,48.1,19.1,34.9,39.8,68.5,16.9,63,11.7,304.8,39.1,27.8,31.8,8.5,30.5,12.1,83.8,6,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawthorn,22,217,1653.8,1564.6,18.2,219.4,151.1,370.5,73.5,66.9,83,6.1,54.4,36.9,75.7,5779.9,15.6,56.6,6.5,69.7,5.3,140.4,227.1,367.5,38.2,71.9,92.4,13.4,23.1,36.5,98.3,13.7,12.4,22.8,16.5,8.2,12.8,10,1.9,25.5,8.8,50.4,23.6,41.9,46.8,94.5,22.7,56.7,9.8,299.5,34.1,34.2,40.3,12,35.2,8.7,81.2,7.4,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Adelaide,24,189.4,1571,1449.1,11,209.9,143.9,353.8,72.1,65.4,81.8,5.7,49.4,40.3,75.2,5572.6,15.8,59.3,6,72.4,4.9,138.7,208,346.8,40,72.8,96.1,11.1,23.5,34.6,83.9,11.6,9.7,19.6,15.4,5.8,9.7,10.8,2.5,21.7,6.8,44.6,19.6,41.4,43.8,81.6,20.2,56.2,9,297.7,34.8,30.2,36,8.1,26.8,10.1,82.7,3.6,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essendon,23,199.7,1635.8,1524.9,14,218.7,149.1,367.8,73.2,66.9,82.5,6.4,50.7,38.9,74,5437.2,14.8,58.3,6.3,66.6,5.5,134.8,228.9,363.7,37.1,65.8,87.9,12.7,22,34.7,98,11.4,11.8,23.3,15.1,7.3,11.9,10,1.8,24.1,8.4,49.5,23.5,43.3,47.6,89.4,21.7,49.3,8.7,278,33.4,35,43.6,11.7,33.3,10.4,77.9,5,48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Western Sydney,24,201.8,1636.5,1520.4,14.6,215.7,143.3,358.9,72.9,66.2,83.1,6,54,37.3,75.2,5336.9,14.9,56.9,6.3,66.5,5.4,135.3,218.3,353.6,38.3,69.3,88.2,11.7,23.5,35.3,92.9,12.1,11.8,21.8,17.2,9.8,11.7,11.2,2.3,25.6,8.2,45.5,21.6,42.4,47.5,89.2,22.8,57.6,10.2,284,32,39.1,44.7,11.2,28.6,9.8,86,6.3,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geelong,25,182.3,1540.1,1421,12.5,199.7,131.6,331.3,71,64.1,81.5,5.9,46.6,39.7,75.8,5220.7,15.8,56.7,5.8,63,5.3,127.1,197.4,324.5,39.2,63.6,85.5,10.4,24.5,34.9,83.9,9.7,9.1,19.6,14.7,5.3,9.8,10.4,2.5,21.8,6,45.1,21.1,43.3,46.8,77.9,20,61.5,9.8,312.1,31.1,35.1,38.8,10,28.5,10.4,80.3,3.6,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL Average,207,201.1,1650,1535.6,15,217.9,147.4,365.3,73.2,66.7,82.8,6.4,51.4,39,75.8,5542.1,15.2,57.1,6.4,68.6,5.3,136,223.9,359.8,37.8,68.9,90.6,11.9,23.7,35.6,94.6,11.5,11.5,22.3,15.8,7.9,11.5,10.5,2,24.3,8,47.4,22.4,42.8,47.3,88.2,21.8,57.4,10.1,288.9,33,34.4,40.3,10.6,31,10.3,82.8,5.3,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
