"date","home_team","away_team","home_mean_score","away_mean_score","side","total","total_low_quantile","total_high_quantile","home_moneyline","away_moneyline"
"2023-06-02","Melbourne","Carlton","66.17","63.42","2.76","129.59","121.32","140.62","0.55","0.45"
"2023-06-03","Port Adelaide","Hawthorn","90.72","64.8","25.92","155.52","142.56","168.48","0.87","0.13"
"2023-06-03","West Coast","Collingwood","51.71","82.13","-30.42","136.89","124.72","146.01","0.06","0.94"
"2023-06-03","Western Bulldogs","Geelong","73.1","76.02","-2.92","149.12","137.42","160.82","0.42","0.58"
"2023-06-03","Gold Coast","Adelaide","80.73","71.04","9.69","151.77","138.86","164.69","0.68","0.32"
"2023-06-04","Greater Western Sydney","Richmond","71.46","86.99","-15.53","158.45","149.13","170.88","0.2","0.8"
"2023-06-04","Essendon","North Melbourne","88.29","63.06","25.22","154.5","141.89","163.96","0.87","0.13"
"2023-06-02","Melbourne","Carlton","66.17","63.42","2.76","132.35","121.32","140.62","0.54","0.46"
"2023-06-03","Port Adelaide","Hawthorn","90.72","64.8","25.92","155.52","142.56","168.48","0.87","0.13"
"2023-06-03","West Coast","Collingwood","51.71","82.13","-30.42","136.89","124.72","146.01","0.06","0.94"
"2023-06-03","Western Bulldogs","Geelong","73.1","76.02","-2.92","149.12","137.42","160.82","0.42","0.58"
"2023-06-03","Gold Coast","Adelaide","80.73","71.04","9.69","151.77","138.86","164.69","0.68","0.32"
"2023-06-04","Greater Western Sydney","Richmond","71.46","86.99","-15.53","158.45","149.13","170.88","0.2","0.8"
"2023-06-04","Essendon","North Melbourne","88.29","63.06","25.22","154.5","141.89","163.96","0.87","0.13"
