"home_team","away_team","totals_quantile_low","totals_quantile_high","home_score_mean","away_score_mean","Home.Line.Open","Total.Score.Open","Home.Score","Away.Score","totals","over_under","totals_result","totals_win_lose","home_pt_diff","score_diff","side_bet","sides_result"
"Melbourne","Western Bulldogs","161.714270572621","169.107622778282","80.593815223449","85.1043660908589",-8.5,159.5,97,71,168,"over",8.5,"win",-4.5105508674099,26,"away","loss"
"Carlton","Richmond","150.446590894262","157.161012163265","79.3096719558509","74.7988423651183",19.5,163.5,101,76,177,"under",13.5,"lose",4.5108295907326,25,"home","win"
"St Kilda","Collingwood","118.302479765061","123.783277592354","60.216323855501","61.0869606255139",-6.5,159.5,85,102,187,"under",27.5,"lose",-0.870636770012901,-17,"away","win"
"Geelong","Essendon","147.454746582007","153.834113242228","80.8262444763292","70.1047561114566",-12.5,159.5,138,72,210,"under",50.5,"lose",10.7214883648726,66,"away","loss"
"GWS Giants","Sydney","159.825895362644","167.036342719433","83.266640050643","80.3693730555165",-2.5,153.5,92,112,204,"over",50.5,"win",2.8972669951265,-20,"home","loss"
"Brisbane","Port Adelaide","159.107701254703","166.078722243147","83.4114620197954","79.4313440868564",-8.5,168.5,80,69,149,"under",-19.5,"win",3.980117932939,11,"away","loss"
"Hawthorn","North Melbourne","123.248155356574","129.128229702516","58.8949466407387","67.5638568575004",-6.5,157.5,78,58,136,"under",-21.5,"win",-8.6689102167617,20,"away","loss"
"Adelaide","Fremantle","151.195882857701","157.804176277146","79.4486293452826","75.2783406550421",3.5,158.5,82,83,165,"under",6.5,"lose",4.1702886902405,-1,"home","win"
"West Coast","Gold Coast","128.39874153567","134.275720361844","66.3972924822726","65.3159695835703",-23.5,156.5,80,107,187,"under",30.5,"lose",1.08132289870231,-27,"away","win"
"Western Bulldogs","Carlton","162.661050180227","170.273588351331","90.7487368522161","76.5277289462463",-14.5,170.5,90,102,192,"under",21.5,"lose",14.2210079059698,-12,"away","win"
"Sydney","Geelong","148.597526818704","156.483609364745","70.3901417459995","82.8564437629042",-6.5,142.5,107,77,184,"over",41.5,"win",-12.4663020169047,30,"away","loss"
"Collingwood","Adelaide","131.720274254935","138.185738037368","71.9563675383152","63.8461848557827",-8.5,163.5,100,58,158,"under",-5.5,"win",8.1101826825325,42,"away","loss"
"Essendon","Brisbane","167.30631084543","175.496195981431","81.9368502467758","89.9492086726053",9.5,164.5,75,97,172,"over",7.5,"win",-8.01235842582949,-22,"home","loss"
"Port Adelaide","Hawthorn","127.581796329271","133.537974789341","70.7402033791559","60.4800497777387",-26.5,159.5,56,120,176,"under",16.5,"lose",10.2601536014172,-64,"away","win"
"Gold Coast","Melbourne","141.308361158699","148.439673581217","82.3452759892858","63.5316334809239",30.5,156.5,69,82,151,"under",-5.5,"win",18.8136425083619,-13,"home","win"
"North Melbourne","West Coast","134.47934166853","140.613927195915","72.2648775297184","65.7472995018257",-5.5,162.5,74,59,133,"under",-29.5,"win",6.51757802789271,15,"home","win"
"Richmond","GWS Giants","152.877239242406","160.100969603278","79.5686127377052","77.4519148849248",-9.5,164.5,109,73,182,"under",17.5,"lose",2.11669785278039,36,"away","loss"
"Fremantle","St Kilda","137.060761076814","143.684684489988","72.0618730522589","68.985781663326",-4.5,163.5,55,65,120,"under",-43.5,"win",3.07609138893291,-10,"away","win"
