home_team,away_team,totals_quantile,sides_quantile,Date,Kick.Off,Venue,Home.Score,Away.Score,Home.Goals,Home.Behinds,Away.Goals,Away.Behinds,Home.Odds,Away.Odds,Bookmakers.Surveyed,Home.Odds.Open,Home.Odds.Min,Home.Odds.Max,Home.Odds.Close,Away.Odds.Open,Away.Odds.Min,Away.Odds.Max,Away.Odds.Close,Home.Line.Open,Home.Line.Min,Home.Line.Max,Home.Line.Close,Away.Line.Open,Away.Line.Min,Away.Line.Max,Away.Line.Close,Home.Line.Odds.Open,Home.Line.Odds.Min,Home.Line.Odds.Max,Home.Line.Odds.Close,Away.Line.Odds.Open,Away.Line.Odds.Min,Away.Line.Odds.Max,Away.Line.Odds.Close,Total.Score.Open,Total.Score.Min,Total.Score.Max,Total.Score.Close,Total.Score.Over.Open,Total.Score.Over.Min,Total.Score.Over.Max,Total.Score.Over.Close,Total.Score.Under.Open,Total.Score.Under.Min,Total.Score.Under.Max,Total.Score.Under.Close,Notes,totals,bet_total_open,bet_total_high,bet_total_low,bet_total_close,season,bet,cash,,,,
Melbourne,Western Bulldogs,162.410666,2.730783262,16/03/2022,19:10,MCG,97,71,14,13,11,5,1.63,2.24,14,1.62,1.56,1.68,1.68,2.3,2.25,2.5,2.25,-8.5,-9.5,-6.5,-6.5,8.5,6.5,9.5,6.5,1.91,1.87,1.91,1.91,1.91,1.91,1.95,1.91,159.5,159.5,162.5,162.5,1.91,1.89,1.91,1.91,1.91,1.89,1.91,1.91,,168,2.910666008,-0.089333992,2.910666008,-0.089333992,NA,over,yes,,,,
Melbourne,Western Bulldogs,168.2422163,8.536563774,16/03/2022,19:10,MCG,97,71,14,13,11,5,1.63,2.24,14,1.62,1.56,1.68,1.68,2.3,2.25,2.5,2.25,-8.5,-9.5,-6.5,-6.5,8.5,6.5,9.5,6.5,1.91,1.87,1.91,1.91,1.91,1.91,1.95,1.91,159.5,159.5,162.5,162.5,1.91,1.89,1.91,1.91,1.91,1.89,1.91,1.91,,168,8.742216348,5.742216348,8.742216348,5.742216348,NA,dog,no,,week ,totals,sides
Carlton,Richmond,150.8443883,-2.746196057,17/03/2022,19:25,MCG,101,76,14,17,11,10,2.51,1.51,14,3.35,2.4,3.35,2.5,1.33,1.33,1.58,1.56,19.5,9.5,19.5,10.5,-19.5,-19.5,-9.5,-10.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,163.5,163.5,165.5,165.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,177,-12.6556117,-14.6556117,-12.6556117,-14.6556117,NA,under,no,,1,-1 ,6
Carlton,Richmond,156.3477564,2.688129927,17/03/2022,19:25,MCG,101,76,14,17,11,10,2.51,1.51,14,3.35,2.4,3.35,2.5,1.33,1.33,1.58,1.56,19.5,9.5,19.5,10.5,-19.5,-19.5,-9.5,-10.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,163.5,163.5,165.5,165.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,177,-7.152243618,-9.152243618,-7.152243618,-9.152243618,NA,dog,yes,,2,3,2
St Kilda,Collingwood,119.0218525,-10.10487652,18/03/2022,19:50,Marvel Stadium,85,102,12,13,15,12,1.62,2.24,13,1.68,1.65,1.7,1.65,2.2,2.2,2.3,2.3,-6.5,-7.5,-6.5,-7.5,6.5,6.5,7.5,7.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,159.5,159.5,159.5,159.5,1.89,1.85,1.89,1.85,1.89,1.89,1.95,1.95,,187,-40.47814749,-40.47814749,-40.47814749,-40.47814749,NA,under,no,,3,0,-2
St Kilda,Collingwood,123.5677686,-5.59928879,18/03/2022,19:50,Marvel Stadium,85,102,12,13,15,12,1.62,2.24,13,1.68,1.65,1.7,1.65,2.2,2.2,2.3,2.3,-6.5,-7.5,-6.5,-7.5,6.5,6.5,7.5,7.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,159.5,159.5,159.5,159.5,1.89,1.85,1.89,1.85,1.89,1.89,1.95,1.95,,187,-35.93223136,-35.93223136,-35.93223136,-35.93223136,NA,dog,yes,,4,4,-1
Geelong Cats,Essendon,147.5799649,-11.63272872,19/03/2022,14:10,MCG,138,72,20,18,11,6,1.63,2.23,14,1.5,1.5,1.72,1.68,2.6,2.15,2.6,2.25,-12.5,-12.5,-5.5,-6.5,12.5,5.5,12.5,6.5,1.91,1.91,1.91,1.89,1.91,1.91,1.91,1.93,159.5,158.5,167.5,167.5,1.87,1.89,1.91,1.91,1.91,1.89,1.91,1.91,,210,-11.92003509,-19.92003509,-10.92003509,-19.92003509,NA,under,no,,, 6 ,5
Geelong Cats,Essendon,153.0781172,-6.147712847,19/03/2022,14:10,MCG,138,72,20,18,11,6,1.63,2.23,14,1.5,1.5,1.72,1.68,2.6,2.15,2.6,2.25,-12.5,-12.5,-5.5,-6.5,12.5,5.5,12.5,6.5,1.91,1.91,1.91,1.89,1.91,1.91,1.91,1.93,159.5,158.5,167.5,167.5,1.87,1.89,1.91,1.91,1.91,1.89,1.91,1.91,,210,-6.42188281,-14.42188281,-5.42188281,-14.42188281,NA,dog,yes,,,,
GWS Giants,Sydney Swans,160.4186308,-5.243606642,19/03/2022,17:10,Accor Stadium,92,112,13,14,17,10,1.95,1.81,14,1.8,1.8,2.05,2,2.02,1.78,2.02,1.85,-2.5,-2.5,3.5,2.5,2.5,-3.5,2.5,-2.5,1.91,1.91,1.91,1.87,1.91,1.91,1.91,1.95,153.5,153.5,160.5,160.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,204,6.918630819,-0.081369181,6.918630819,-0.081369181,NA,over,yes,,,,
GWS Giants,Sydney Swans,166.1866005,0.481104384,19/03/2022,17:10,Accor Stadium,92,112,13,14,17,10,1.95,1.81,14,1.8,1.8,2.05,2,2.02,1.78,2.02,1.85,-2.5,-2.5,3.5,2.5,2.5,-3.5,2.5,-2.5,1.91,1.91,1.91,1.87,1.91,1.91,1.91,1.95,153.5,153.5,160.5,160.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,204,12.68660051,5.686600512,12.68660051,5.686600512,NA,none,,,,,
