home_team,away_team,totals_quantile,sides_quantile,Kick.Off,Venue,Home.Score,Away.Score,Home.Goals,Home.Behinds,Away.Goals,Away.Behinds,Home.Odds,Away.Odds,Bookmakers.Surveyed,Home.Odds.Open,Home.Odds.Min,Home.Odds.Max,Home.Odds.Close,Away.Odds.Open,Away.Odds.Min,Away.Odds.Max,Away.Odds.Close,Home.Line.Open,Home.Line.Min,Home.Line.Max,Home.Line.Close,Away.Line.Open,Away.Line.Min,Away.Line.Max,Away.Line.Close,Home.Line.Odds.Open,Home.Line.Odds.Min,Home.Line.Odds.Max,Home.Line.Odds.Close,Away.Line.Odds.Open,Away.Line.Odds.Min,Away.Line.Odds.Max,Away.Line.Odds.Close,Total.Score.Open,Total.Score.Min,Total.Score.Max,Total.Score.Close,Total.Score.Over.Open,Total.Score.Over.Min,Total.Score.Over.Max,Total.Score.Over.Close,Total.Score.Under.Open,Total.Score.Under.Min,Total.Score.Under.Max,Total.Score.Under.Close,Notes,totals,,
Melbourne,Western Bulldogs,166.1310298,-2.879690776,19:10,MCG,97,71,14,13,11,5,1.63,2.24,14,1.62,1.56,1.68,1.68,2.3,2.25,2.5,2.25,-8.5,-9.5,-6.5,-6.5,8.5,6.5,9.5,6.5,1.91,1.87,1.91,1.91,1.91,1.91,1.95,1.91,159.5,159.5,162.5,162.5,1.91,1.89,1.91,1.91,1.91,1.89,1.91,1.91,,168,over,
Melbourne,Western Bulldogs,173.6116288,4.568734768,19:10,MCG,97,71,14,13,11,5,1.63,2.24,14,1.62,1.56,1.68,1.68,2.3,2.25,2.5,2.25,-8.5,-9.5,-6.5,-6.5,8.5,6.5,9.5,6.5,1.91,1.87,1.91,1.91,1.91,1.91,1.95,1.91,159.5,159.5,162.5,162.5,1.91,1.89,1.91,1.91,1.91,1.89,1.91,1.91,,168,1,0
Carlton,Richmond,145.0360193,-0.878778291,19:25,MCG,101,76,14,17,11,10,2.51,1.51,14,3.35,2.4,3.35,2.5,1.33,1.33,1.58,1.56,19.5,9.5,19.5,10.5,-19.5,-19.5,-9.5,-10.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,163.5,163.5,165.5,165.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,177,under,
Carlton,Richmond,151.6372286,5.565146401,19:25,MCG,101,76,14,17,11,10,2.51,1.51,14,3.35,2.4,3.35,2.5,1.33,1.33,1.58,1.56,19.5,9.5,19.5,10.5,-19.5,-19.5,-9.5,-10.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,163.5,163.5,165.5,165.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,177,1,1
St Kilda,Collingwood,132.0180485,-7.917876048,19:50,Marvel Stadium,85,102,12,13,15,12,1.62,2.24,13,1.68,1.65,1.7,1.65,2.2,2.2,2.3,2.3,-6.5,-7.5,-6.5,-7.5,6.5,6.5,7.5,7.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,159.5,159.5,159.5,159.5,1.89,1.85,1.89,1.85,1.89,1.89,1.95,1.95,,187,under,
St Kilda,Collingwood,138.0161584,-1.729236758,19:50,Marvel Stadium,85,102,12,13,15,12,1.62,2.24,13,1.68,1.65,1.7,1.65,2.2,2.2,2.3,2.3,-6.5,-7.5,-6.5,-7.5,6.5,6.5,7.5,7.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,159.5,159.5,159.5,159.5,1.89,1.85,1.89,1.85,1.89,1.89,1.95,1.95,,187,1,2
Geelong,Essendon,151.763558,-2.47427734,14:10,MCG,138,72,20,18,11,6,1.63,2.23,14,1.5,1.5,1.72,1.68,2.6,2.15,2.6,2.25,-12.5,-12.5,-5.5,-6.5,12.5,5.5,12.5,6.5,1.91,1.91,1.91,1.89,1.91,1.91,1.91,1.93,159.5,158.5,167.5,167.5,1.87,1.89,1.91,1.91,1.91,1.89,1.91,1.91,,210,under,
Geelong,Essendon,158.6348071,4.325479704,14:10,MCG,138,72,20,18,11,6,1.63,2.23,14,1.5,1.5,1.72,1.68,2.6,2.15,2.6,2.25,-12.5,-12.5,-5.5,-6.5,12.5,5.5,12.5,6.5,1.91,1.91,1.91,1.89,1.91,1.91,1.91,1.93,159.5,158.5,167.5,167.5,1.87,1.89,1.91,1.91,1.91,1.89,1.91,1.91,,210,1,3
GWS Giants,Sydney,150.4065267,-3.073617653,17:10,Accor Stadium,92,112,13,14,17,10,1.95,1.81,14,1.8,1.8,2.05,2,2.02,1.78,2.02,1.85,-2.5,-2.5,3.5,2.5,2.5,-3.5,2.5,-2.5,1.91,1.91,1.91,1.87,1.91,1.91,1.91,1.95,153.5,153.5,160.5,160.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,204,no bet,
GWS Giants,Sydney,157.22424,3.740973357,17:10,Accor Stadium,92,112,13,14,17,10,1.95,1.81,14,1.8,1.8,2.05,2,2.02,1.78,2.02,1.85,-2.5,-2.5,3.5,2.5,2.5,-3.5,2.5,-2.5,1.91,1.91,1.91,1.87,1.91,1.91,1.91,1.95,153.5,153.5,160.5,160.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,204,1,3
Brisbane,Port Adelaide,160.0822297,4.375842424,19:10,Gabba,80,69,11,14,10,9,1.38,2.96,14,1.62,1.38,1.62,1.38,2.3,2.3,3.2,3.2,-8.5,-17.5,-8.5,-17.5,8.5,8.5,17.5,17.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,168.5,167.5,172.5,172.5,1.89,1.91,1.91,1.91,1.89,1.91,1.91,1.91,,149,under,
