"date","lat","long","hour","temp","humidity","dew","precip","precipprob","windspeed","winddir","conditions"
"2023-03-16",144.96,-37.81,0,66.5,83.57,61.4,0,0,0.6,226,"Overcast"
"2023-03-16",144.96,-37.81,1,66.7,82.47,61.2,0,0,3.7,9,"Partially cloudy"
"2023-03-16",144.96,-37.81,2,66.8,81.79,61.1,0,0,2.4,9,"Partially cloudy"
"2023-03-16",144.96,-37.81,3,65.7,84.41,60.8,0,0,0.4,346,"Partially cloudy"
"2023-03-16",144.96,-37.81,4,65.3,83.83,60.3,0,0,1,303,"Overcast"
"2023-03-16",144.96,-37.81,5,67.5,59.23,52.8,0,0,5,235,"Overcast"
"2023-03-16",144.96,-37.81,6,65.4,51.02,46.9,0,0,4.2,217,"Partially cloudy"
"2023-03-16",144.96,-37.81,7,63.5,56.81,47.9,0,0,6.1,218,"Overcast"
"2023-03-16",144.96,-37.81,8,63.1,58.38,48.3,0,0,5.9,215,"Overcast"
"2023-03-16",144.96,-37.81,9,65.5,61.45,51.9,0,0,7.9,274,"Partially cloudy"
"2023-03-16",144.96,-37.81,10,68.2,61.18,54.4,0,0,9.2,301,"Clear"
"2023-03-16",144.96,-37.81,11,71.9,57.19,55.9,0,0,7,286,"Clear"
"2023-03-16",144.96,-37.81,12,75.7,51.81,56.8,0,0,7,317,"Clear"
"2023-03-16",144.96,-37.81,13,76.7,53.32,58.4,0,0,8.7,207,"Partially cloudy"
"2023-03-16",144.96,-37.81,14,78.5,46.93,56.6,0,0,8.9,227,"Overcast"
"2023-03-16",144.96,-37.81,15,81.6,40.18,55.1,0,0,9.3,249,"Partially cloudy"
"2023-03-16",144.96,-37.81,16,81,41.08,55.2,0,0,9.4,260,"Overcast"
"2023-03-16",144.96,-37.81,17,80.3,44.66,56.8,0,0,8.1,267,"Overcast"
"2023-03-16",144.96,-37.81,18,79.4,47,57.4,0,0,10.2,267,"Overcast"
"2023-03-16",144.96,-37.81,19,77.5,51.21,58.1,0,0,9.4,291,"Overcast"
"2023-03-16",144.96,-37.81,20,76.1,52.51,57.4,0,0,8.3,301,"Partially cloudy"
"2023-03-16",144.96,-37.81,21,75.1,56.09,58.4,0,0,6.9,295,"Partially cloudy"
"2023-03-16",144.96,-37.81,22,72.2,64.57,59.6,0,0,7.7,260,"Clear"
"2023-03-16",144.96,-37.81,23,70.4,66.98,59,0,0,6.9,252,"Partially cloudy"
"2023-03-17",144.96,-37.81,0,70,65.19,57.8,0,0,7,276,"Partially cloudy"
"2023-03-17",144.96,-37.81,1,64.5,87.83,60.8,0,0,6.9,245,"Overcast"
"2023-03-17",144.96,-37.81,2,63,98.55,62.5,0,0,6.7,191,"Clear"
"2023-03-17",144.96,-37.81,3,62.5,96.95,61.6,0.099,100,1.5,241,"Rain, Overcast"
"2023-03-17",144.96,-37.81,4,62.4,85.44,58,0,0,2.1,267,"Partially cloudy"
"2023-03-17",144.96,-37.81,5,62.3,84.27,57.5,0,0,4,260,"Partially cloudy"
"2023-03-17",144.96,-37.81,6,62,80,55.7,0,0,6.1,271,"Overcast"
"2023-03-17",144.96,-37.81,7,61.1,82.47,55.7,0,0,5,261,"Partially cloudy"
"2023-03-17",144.96,-37.81,8,60.5,80.07,54.3,0,0,6,267,"Partially cloudy"
"2023-03-17",144.96,-37.81,9,61.9,67.18,50.9,0,0,5.5,273,"Partially cloudy"
"2023-03-17",144.96,-37.81,10,64,52.15,46.1,0,0,6.2,263,"Clear"
"2023-03-17",144.96,-37.81,11,65.7,49.79,46.4,0,0,6.8,258,"Clear"
"2023-03-17",144.96,-37.81,12,67,46.13,45.6,0,0,6.2,294,"Clear"
"2023-03-17",144.96,-37.81,13,68.6,45.54,46.8,0,0,6.7,118,"Clear"
"2023-03-17",144.96,-37.81,14,71.6,41.2,46.8,0,0,4.8,92,"Clear"
"2023-03-17",144.96,-37.81,15,73.1,39.88,47.3,0,0,5.8,204,"Clear"
"2023-03-17",144.96,-37.81,16,75.3,38.5,48.3,0,0,5.4,260,"Clear"
"2023-03-17",144.96,-37.81,17,74.4,38.32,47.4,0,0,6.2,205,"Clear"
"2023-03-17",144.96,-37.81,18,76.2,39.15,49.5,0,0,4.9,194,"Clear"
"2023-03-17",144.96,-37.81,19,71.9,45.32,49.6,0,0,5,205,"Clear"
"2023-03-17",144.96,-37.81,20,67.6,52.88,49.8,0,0,1.6,164,"Clear"
"2023-03-17",144.96,-37.81,21,64.4,61.94,51.1,0,0,1.1,158,"Partially cloudy"
"2023-03-17",144.96,-37.81,22,62.4,70.56,52.7,0,0,1.6,186,"Clear"
"2023-03-17",144.96,-37.81,23,61.1,72.66,52.3,0,0,0.6,237,"Clear"
"2023-03-18",144.96,-37.81,0,59.2,78.17,52.5,0,0,0.8,274,"Clear"
"2023-03-18",144.96,-37.81,1,58,83.7,53.1,0,0,0.7,290,"Clear"
"2023-03-18",144.96,-37.81,2,60.1,78.15,53.3,0,0,5.3,5,"Clear"
"2023-03-18",144.96,-37.81,3,58.7,80.17,52.6,0,0,3.7,37,"Clear"
"2023-03-18",144.96,-37.81,4,58.7,75.82,51.1,0,0,5.6,21,"Clear"
"2023-03-18",144.96,-37.81,5,59.6,69.35,49.6,0,0,5.8,24,"Clear"
"2023-03-18",144.96,-37.81,6,61.2,63.93,48.9,0,0,8.5,22,"Partially cloudy"
"2023-03-18",144.96,-37.81,7,61.1,63.45,48.6,0,0,9.9,17,"Clear"
"2023-03-18",144.96,-37.81,8,68.4,52.38,50.3,0,0,10.5,4,"Clear"
"2023-03-18",144.96,-37.81,9,73.3,42.97,49.4,0,0,9.8,7,"Overcast"
"2023-03-18",144.96,-37.81,10,74.5,41.41,49.5,0,0,13.7,359,"Overcast"
"2023-03-18",144.96,-37.81,11,78.1,36.06,49,0,0,13.6,13,"Overcast"
"2023-03-18",144.96,-37.81,12,81.4,34.32,50.6,0,0,17.8,1,"Partially cloudy"
"2023-03-18",144.96,-37.81,13,84.1,31.77,50.9,0,0,17,356,"Overcast"
"2023-03-18",144.96,-37.81,14,85.8,30.19,51,0,0,12.5,10,"Partially cloudy"
"2023-03-18",144.96,-37.81,15,89.4,26.75,50.8,0,0,11.2,2,"Overcast"
"2023-03-18",144.96,-37.81,16,92.1,24.23,50.4,0,0,11.3,351,"Overcast"
"2023-03-18",144.96,-37.81,17,96.3,22.04,51.3,0,0,11.3,332,"Overcast"
"2023-03-18",144.96,-37.81,18,73.8,61.49,59.7,0,0,11.6,195,"Overcast"
"2023-03-18",144.96,-37.81,19,71.4,68.79,60.6,0,0,9.2,177,"Overcast"
"2023-03-18",144.96,-37.81,20,69.1,76.18,61.3,0,0,6.6,157,"Partially cloudy"
"2023-03-18",144.96,-37.81,21,68.3,77.29,60.9,0,0,4.9,160,"Overcast"
"2023-03-18",144.96,-37.81,22,66,81.88,60.3,0,0,6.4,169,"Partially cloudy"
"2023-03-18",144.96,-37.81,23,65.2,80.37,59,0,0,6.7,176,"Partially cloudy"
"2023-03-18",138.6,-34.93,0,81.8,27.57,45.1,0,0,13.2,35,"Clear"
"2023-03-18",138.6,-34.93,1,82.9,24.44,42.9,0,0,14.4,34,"Clear"
